epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,110.752,3.11693,4.19996,4.15859,0.2081,0.05754,0.0102,0.00259,2.73511,4.36569,3.94152,0.00332147,0.00332147,0.00332147
2,218.632,2.46101,3.44778,3.19118,0.16486,0.25924,0.1209,0.04082,2.10288,3.12844,3.00897,0.00658892,0.00658892,0.00658892
3,325.302,1.71295,2.61091,2.33257,0.42574,0.37684,0.35708,0.15981,1.71312,2.49305,2.57093,0.00979037,0.00979037,0.00979037
4,431.849,1.49859,2.10132,2.04241,0.64895,0.5469,0.6084,0.31929,1.57475,1.91149,2.27838,0.009703,0.009703,0.009703
5,537.532,1.36789,1.79617,1.88487,0.73344,0.61667,0.71244,0.40637,1.43764,1.576,2.09042,0.009604,0.009604,0.009604
6,642.931,1.29957,1.62161,1.80254,0.7681,0.69819,0.78085,0.4665,1.34777,1.31121,1.98256,0.009505,0.009505,0.009505
7,748.068,1.24702,1.52714,1.75585,0.71483,0.67924,0.73387,0.44612,1.32895,1.40329,1.95316,0.009406,0.009406,0.009406
8,853.059,1.19776,1.43351,1.70808,0.78735,0.71091,0.79884,0.50601,1.23598,1.19392,1.84701,0.009307,0.009307,0.009307
9,957.956,1.16997,1.37139,1.67957,0.80819,0.74645,0.81471,0.51936,1.23181,1.11975,1.84491,0.009208,0.009208,0.009208
10,1063.61,1.15128,1.31817,1.66028,0.83924,0.73856,0.82755,0.52881,1.21906,1.04023,1.86825,0.009109,0.009109,0.009109
11,1168.7,1.12059,1.26731,1.62799,0.83815,0.77936,0.85922,0.56672,1.19946,0.98773,1.78046,0.00901,0.00901,0.00901
12,1273.79,1.10138,1.22642,1.60805,0.85515,0.7756,0.86237,0.56349,1.15968,0.9852,1.73383,0.008911,0.008911,0.008911
13,1378.91,1.09382,1.21019,1.59775,0.85174,0.78995,0.87062,0.56575,1.16644,0.97856,1.73344,0.008812,0.008812,0.008812
14,1483.87,1.07189,1.18398,1.57486,0.87818,0.8015,0.88045,0.59118,1.13238,0.89683,1.70593,0.008713,0.008713,0.008713
15,1588.87,1.06372,1.15936,1.56842,0.89049,0.80257,0.89521,0.61214,1.09249,0.84301,1.66465,0.008614,0.008614,0.008614
16,1693.73,1.04058,1.12033,1.54819,0.84744,0.75594,0.83554,0.55787,1.1716,0.99675,1.76696,0.008515,0.008515,0.008515
17,1798.58,1.03594,1.09949,1.53657,0.88291,0.81497,0.88893,0.60749,1.1071,0.84997,1.66858,0.008416,0.008416,0.008416
18,1903.33,1.03633,1.09105,1.53609,0.89286,0.81861,0.89858,0.62117,1.069,0.82799,1.61705,0.008317,0.008317,0.008317
19,2008.4,1.01917,1.07833,1.52396,0.8854,0.82629,0.90395,0.63292,1.04204,0.80086,1.60564,0.008218,0.008218,0.008218
20,2113.26,1.01733,1.06082,1.51787,0.88958,0.83648,0.90814,0.63765,1.04413,0.76931,1.61332,0.008119,0.008119,0.008119
21,2218.18,1.00383,1.04292,1.50757,0.86443,0.82358,0.89358,0.62947,1.02853,0.81622,1.5958,0.00802,0.00802,0.00802
